,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
53,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
54,0.687,0.717,11,-6.61,1,0.0755,0.0744,0.0,0.134,0.685,88.063,audio_features,0HLhptvI8NozbOHRLNniFz,spotify:track:0HLhptvI8NozbOHRLNniFz,https://api.spotify.com/v1/tracks/0HLhptvI8NozbOHRLNniFz,https://api.spotify.com/v1/audio-analysis/0HLhptvI8NozbOHRLNniFz,158995,4
55,0.704,0.778,5,-5.331,1,0.0971,0.00447,0.0,0.0731,0.821,101.025,audio_features,5nhW8I46uDE5sc5ouEbzao,spotify:track:5nhW8I46uDE5sc5ouEbzao,https://api.spotify.com/v1/tracks/5nhW8I46uDE5sc5ouEbzao,https://api.spotify.com/v1/audio-analysis/5nhW8I46uDE5sc5ouEbzao,183537,4
56,0.794,0.706,5,-6.066,0,0.0382,0.198,0.0,0.0536,0.908,116.032,audio_features,7jqXDgGWkV4w2ctdb2g59o,spotify:track:7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/tracks/7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/audio-analysis/7jqXDgGWkV4w2ctdb2g59o,170614,4
57,0.761,0.695,5,-4.048,1,0.0886,0.0783,0.0,0.14,0.69,118.004,audio_features,3oiLlbBynuErymca4Dwp5H,spotify:track:3oiLlbBynuErymca4Dwp5H,https://api.spotify.com/v1/tracks/3oiLlbBynuErymca4Dwp5H,https://api.spotify.com/v1/audio-analysis/3oiLlbBynuErymca4Dwp5H,201667,4
58,0.783,0.912,0,-3.713,1,0.243,0.0238,0.0,0.339,0.749,98.025,audio_features,59s3aMqR9uOzLIXAcgBCEm,spotify:track:59s3aMqR9uOzLIXAcgBCEm,https://api.spotify.com/v1/tracks/59s3aMqR9uOzLIXAcgBCEm,https://api.spotify.com/v1/audio-analysis/59s3aMqR9uOzLIXAcgBCEm,166898,4
59,0.757,0.547,7,-4.573,1,0.0355,0.0115,0.0,0.0445,0.793,126.977,audio_features,6MAdEUilV2p9RQUqE5bMAK,spotify:track:6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/tracks/6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/audio-analysis/6MAdEUilV2p9RQUqE5bMAK,231693,4
60,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4
61,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,3S4px9f4lceWdKf0gWciFu,spotify:track:3S4px9f4lceWdKf0gWciFu,https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu,https://api.spotify.com/v1/audio-analysis/3S4px9f4lceWdKf0gWciFu,211667,4
62,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,5Hroj5K7vLpIG4FNCRIjbP,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240,4
63,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,audio_features,4wNIkl5XGiAACjFBlDWuSd,spotify:track:4wNIkl5XGiAACjFBlDWuSd,https://api.spotify.com/v1/tracks/4wNIkl5XGiAACjFBlDWuSd,https://api.spotify.com/v1/audio-analysis/4wNIkl5XGiAACjFBlDWuSd,180645,4
64,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4
65,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
66,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,audio_features,6F5c58TMEs1byxUstkzVeM,spotify:track:6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM,223546,4
67,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,audio_features,0yvPEnB032fojLfVluFjUv,spotify:track:0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/tracks/0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/audio-analysis/0yvPEnB032fojLfVluFjUv,203760,4
68,0.542,0.829,6,-4.266,1,0.0311,0.018,0.000134,0.181,0.643,167.942,audio_features,5l60Z7gXN9MhAyhdZdy3uA,spotify:track:5l60Z7gXN9MhAyhdZdy3uA,https://api.spotify.com/v1/tracks/5l60Z7gXN9MhAyhdZdy3uA,https://api.spotify.com/v1/audio-analysis/5l60Z7gXN9MhAyhdZdy3uA,167233,4
69,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,audio_features,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4
